track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
5DIGt883aHs3KqWSziy4gR,0.644,0.401,7,-6.782,1,0.0403,0.171,0.0,0.132,0.459,95.354,audio_features,5DIGt883aHs3KqWSziy4gR,spotify:track:5DIGt883aHs3KqWSziy4gR,https://api.spotify.com/v1/tracks/5DIGt883aHs3KqWSziy4gR,https://api.spotify.com/v1/audio-analysis/5DIGt883aHs3KqWSziy4gR,112879,4
3adNtom9Dn2NXmgHf0OwZR,0.645,0.876,9,-5.116,1,0.0544,0.0851,0.00209,0.335,0.933,137.991,audio_features,3adNtom9Dn2NXmgHf0OwZR,spotify:track:3adNtom9Dn2NXmgHf0OwZR,https://api.spotify.com/v1/tracks/3adNtom9Dn2NXmgHf0OwZR,https://api.spotify.com/v1/audio-analysis/3adNtom9Dn2NXmgHf0OwZR,187185,4
4ZZWpgN3RP2kO5Crbk7Ump,0.808,0.595,5,-7.861,1,0.0286,0.0338,0.0019,0.498,0.926,99.986,audio_features,4ZZWpgN3RP2kO5Crbk7Ump,spotify:track:4ZZWpgN3RP2kO5Crbk7Ump,https://api.spotify.com/v1/tracks/4ZZWpgN3RP2kO5Crbk7Ump,https://api.spotify.com/v1/audio-analysis/4ZZWpgN3RP2kO5Crbk7Ump,228824,4
1Jb8fejyUddXtl2JKAEFmQ,0.567,0.928,8,-5.533,1,0.0616,0.118,1.04e-05,0.347,0.698,171.974,audio_features,1Jb8fejyUddXtl2JKAEFmQ,spotify:track:1Jb8fejyUddXtl2JKAEFmQ,https://api.spotify.com/v1/tracks/1Jb8fejyUddXtl2JKAEFmQ,https://api.spotify.com/v1/audio-analysis/1Jb8fejyUddXtl2JKAEFmQ,214754,4
3gZyxP7keADPPc8lEJWehW,0.568,0.904,6,-4.772,0,0.226,0.00167,2.55e-06,0.11,0.487,169.935,audio_features,3gZyxP7keADPPc8lEJWehW,spotify:track:3gZyxP7keADPPc8lEJWehW,https://api.spotify.com/v1/tracks/3gZyxP7keADPPc8lEJWehW,https://api.spotify.com/v1/audio-analysis/3gZyxP7keADPPc8lEJWehW,258320,4
7cA93NpGWT5pgyxNtsszSR,0.518,0.0659,6,-20.389,1,0.0659,0.965,0.0588,0.0924,0.189,118.252,audio_features,7cA93NpGWT5pgyxNtsszSR,spotify:track:7cA93NpGWT5pgyxNtsszSR,https://api.spotify.com/v1/tracks/7cA93NpGWT5pgyxNtsszSR,https://api.spotify.com/v1/audio-analysis/7cA93NpGWT5pgyxNtsszSR,115657,4
7LvgXDcFRcu9zgWfZm65H0,0.643,0.834,1,-6.078,1,0.0324,0.0184,0.0033,0.0655,0.149,123.023,audio_features,7LvgXDcFRcu9zgWfZm65H0,spotify:track:7LvgXDcFRcu9zgWfZm65H0,https://api.spotify.com/v1/tracks/7LvgXDcFRcu9zgWfZm65H0,https://api.spotify.com/v1/audio-analysis/7LvgXDcFRcu9zgWfZm65H0,233770,4
7Dx29iGgJijt8IhAQfgLTR,0.711,0.575,9,-6.859,1,0.0452,0.102,1.81e-05,0.106,0.481,135.008,audio_features,7Dx29iGgJijt8IhAQfgLTR,spotify:track:7Dx29iGgJijt8IhAQfgLTR,https://api.spotify.com/v1/tracks/7Dx29iGgJijt8IhAQfgLTR,https://api.spotify.com/v1/audio-analysis/7Dx29iGgJijt8IhAQfgLTR,162446,4
01K4zKU104LyJ8gMb7227B,0.606,0.377,0,-9.455,1,0.0275,0.817,0.0,0.154,0.446,101.96,audio_features,01K4zKU104LyJ8gMb7227B,spotify:track:01K4zKU104LyJ8gMb7227B,https://api.spotify.com/v1/tracks/01K4zKU104LyJ8gMb7227B,https://api.spotify.com/v1/audio-analysis/01K4zKU104LyJ8gMb7227B,258813,4
6ts1KCOudfDYXYfyWtq0k1,0.488,0.638,8,-4.502,1,0.058,0.0258,2.24e-05,0.12,0.713,207.906,audio_features,6ts1KCOudfDYXYfyWtq0k1,spotify:track:6ts1KCOudfDYXYfyWtq0k1,https://api.spotify.com/v1/tracks/6ts1KCOudfDYXYfyWtq0k1,https://api.spotify.com/v1/audio-analysis/6ts1KCOudfDYXYfyWtq0k1,188060,4
7EgnVzraPX5lyWA92o0Jty,0.781,0.611,0,-7.812,0,0.0406,0.125,1.4e-06,0.116,0.333,119.092,audio_features,7EgnVzraPX5lyWA92o0Jty,spotify:track:7EgnVzraPX5lyWA92o0Jty,https://api.spotify.com/v1/tracks/7EgnVzraPX5lyWA92o0Jty,https://api.spotify.com/v1/audio-analysis/7EgnVzraPX5lyWA92o0Jty,222858,4
50lUr1G0TYol01m2RlqPzZ,0.508,0.213,5,-13.998,1,0.0364,0.829,1.11e-05,0.123,0.512,100.764,audio_features,50lUr1G0TYol01m2RlqPzZ,spotify:track:50lUr1G0TYol01m2RlqPzZ,https://api.spotify.com/v1/tracks/50lUr1G0TYol01m2RlqPzZ,https://api.spotify.com/v1/audio-analysis/50lUr1G0TYol01m2RlqPzZ,150141,4
